wsid,name,country,province,icao,latitude,longitude,elevation,begin_date,end_date
134590-99999,NIKSIC,MJ,,,+42.767,+018.950,+0647.0,1975-10-23,2025-06-04
134610-99999,BAR,MJ,,,+42.100,+019.100,+0006.0,1982-01-01,2025-06-04
134615-99999,OHRID-AERODROME,MK,,LYOH,+41.100,+020.817,+0700.0,2005-01-01,2025-06-04
134620-99999,PODGORICA / GOLUBOVCI,MJ,,LYTI,+42.367,+019.250,+0033.0,1952-01-01,2025-06-04
134624-99999,PODGORICA TITOGRAD,MJ,,LYPG,+42.433,+019.283,+0053.0,1993-04-08,2025-06-04
134630-99999,PODGORICA-GRAD,MJ,,,+42.433,+019.283,+0050.0,2001-09-16,2025-06-04
134640-99999,ULCINJ,MJ,,,+41.917,+019.217,+0029.0,1997-01-01,1997-12-31
134650-99999,KOLASIN,MJ,,,+42.833,+019.533,+0945.0,1973-01-05,1997-12-31
134720-99999,PEC,RI,,,+42.667,+020.300,+0501.1,1952-08-01,1962-12-11
134730-99999,PEC,KV,,,+42.667,+020.300,+0499.0,1973-01-01,1997-12-31
134740-99999,KOSOVSKA MITROVICA,KV,,,+42.833,+020.833,+0521.0,1936-01-02,1939-12-31
134770-99999,PRIZREN,KV,,,+42.217,+020.733,+0403.0,1973-01-02,2024-08-03
134810-99999,PRISTINA,KV,,LYPR,+42.573,+021.036,+0545.3,1973-01-01,1997-12-31
134811-99999,PRISTINA,XK,,BKPR,+42.570,+021.030,+0559.0,2004-07-06,2025-06-04
134830-99999,SXODJE,MK,,,+41.983,+021.467,+0241.1,1952-01-01,1962-12-31
134890-99999,VRANJE,RI,,,+42.550,+021.917,+0434.0,1979-11-04,2025-06-04
134900-99999,RESERVED FOR NAVY,,,,+00.000,+000.000,+0000.0,1994-01-16,2004-01-12
134910-99999,SKOPJE,RS,,,+42.517,+022.283,+1176.0,1994-01-07,1996-02-19
134920-99999,POPOVA SAPKA,MK,,,+41.017,+020.883,+1750.0,2002-09-14,2025-03-12
134930-99999,KRIVA PALANKA,MK,,,+42.200,+022.333,+0696.0,1973-01-01,2025-06-03
135620-99999,ULCINJ,MJ,,,+41.917,+019.217,+0029.0,1952-01-01,1997-06-03
135710-99999,TETOVO,MK,,,+42.000,+020.967,+0462.0,2013-02-25,2025-06-03
135750-99999,POZARANE-PGC,MK,,,+41.850,+020.867,+0885.0,2001-07-25,2025-06-03
135760-99999,MAVROVO,MK,,,+41.700,+020.750,+1240.0,2012-07-03,2025-06-03
135770-99999,LAZAROPOLE,MK,,,+41.533,+020.700,+1321.0,1973-01-02,2025-06-03
135780-99999,OHRID,MK,,LWOH,+41.180,+020.742,+0705.0,1973-01-05,2025-06-04
135790-99999,OHRID-AERODROME,MK,,LYOH,+41.100,+020.817,+0700.0,1991-07-01,1997-12-31
135800-99999,PRETOR-PGC,MK,,,+40.983,+021.067,+0910.0,2001-11-13,2025-06-03
135810-99999,TOPOLCANI-PGC,MK,,,+41.217,+021.467,-0999.9,2001-07-30,2025-06-03
135820-99999,KRUSEVO,MK,,,+41.367,+021.250,+1230.0,1957-01-01,2025-03-12
135830-99999,BITOLA,MK,,,+41.050,+021.367,+0589.0,1973-01-01,2025-06-03
135840-99999,SOLUNSKA GLAVA,MK,,,+41.733,+021.517,+2540.0,2001-07-05,2012-08-23
135850-99999,PRILEP,MK,,,+41.333,+021.567,+0674.0,1936-01-02,2025-06-03
135860-99999,SKOPJE,MK,,LWSK,+41.962,+021.621,+0238.0,1928-01-06,2025-06-04
135880-99999,SKOPJE-ZAJCEV RID,MK,,,+42.017,+021.400,+0301.0,2001-11-13,2025-06-03
135890-99999,KUMANOVO,MK,,,+42.133,+021.717,+0338.0,2015-12-12,2015-12-12
135900-99999,GURISTE-PGC,MK,,,+41.900,+021.850,+0856.0,2001-07-13,2025-06-03
135910-99999,STIP,MK,,,+41.750,+022.183,+0327.0,1973-01-02,2025-06-03
135920-99999,DEMIR KAPIJA,MK,,,+41.417,+022.250,+0126.0,1973-01-01,2025-06-03
135930-99999,POZAR-PGC,MK,,,+41.300,+022.417,+1030.0,2001-11-13,2025-06-03
135940-99999,VINICA-PGC,MK,,,+41.883,+022.500,+0513.0,2001-07-26,2025-06-03
135950-99999,STRUMICA,MK,,,+41.433,+022.650,+0224.0,2001-11-13,2025-06-03
135970-99999,GEVGELIJA,MK,,,+41.150,+022.500,+0059.0,2001-07-05,2025-06-03
135980-99999,BEROVO,MK,,,+41.717,+022.850,+0836.0,1991-07-01,2025-06-03
135990-99999,KAVADARCI,MK,,,+41.433,+022.033,+0260.0,2013-02-28,2025-06-03
136000-99999,SHKODRA,AL,,,+42.100,+019.533,+0043.0,1956-01-01,2025-06-04
136010-99999,TIRANA-LA PRAKA,AL,,,+41.333,+019.800,+0097.0,2011-05-25,2025-06-04
136100-99999,KUKES INTERNATIONIONAL AIRPORT,AL,,LAKU,+42.034,+020.415,+0354.0,1973-01-06,2025-06-04
136110-99999,DURRES,AL,,,+41.300,+019.450,+0012.0,1973-01-06,2025-06-04
136120-99999,DURRES,AL,,,+41.300,+019.467,+0008.0,1993-11-01,2004-11-16
136150-99999,TIRANA RINAS,AL,,LATI,+41.415,+019.721,+0038.4,1956-01-01,2025-06-04
136190-99999,PESHKOPI,AL,,,+41.683,+020.433,+0653.0,1973-01-06,2025-06-04
136220-99999,VLORE,AL,,,+40.467,+019.483,+0005.0,1960-10-02,2025-06-04
136230-99999,SAZAN ISLAND,AL,,,+40.500,+019.283,+0240.0,1933-05-16,2025-06-04
136240-99999,QYTETI STALIN,AL,,,+40.800,+019.900,+0033.0,1973-01-06,2025-06-04
136250-99999,GJIROKASTRA,AL,,,+40.083,+020.150,+0194.0,1956-01-01,2025-06-04
136290-99999,KORCA,AL,,,+40.600,+020.767,+0899.0,1956-01-01,2025-06-04
136424-99999,PODGORICA (TITOGRAD,,,,+42.383,+019.283,+0037.0,1993-01-12,1993-02-08
140050-99999,BOVEC,SI,,LJBO,+46.333,+013.567,+0452.0,1996-02-04,1997-10-28
140060-99999,VOGEL,SI,,,+46.267,+013.833,+1535.0,1996-01-01,2025-06-04
140070-99999,RATECE,SI,,,+46.500,+013.717,+0864.5,1996-01-01,2025-06-04
140080-99999,KREDARICA,SI,,,+46.383,+013.850,+2515.0,1996-02-01,2025-06-04
140090-99999,VOJSKO,SI,,,+46.033,+013.900,+1067.0,1996-01-02,2025-06-04
140100-99999,LESCE,SI,,,+46.367,+014.183,+0515.0,1996-01-01,2025-06-04
140120-99999,KATARINA,SI,,,+46.100,+014.367,+0685.0,1996-01-01,2025-06-04
140140-99999,LJUBLJANA,SI,,LJLJ,+46.224,+014.458,+0388.0,1996-02-01,2025-06-04
140150-99999,LJUBLJANA/BEZIGRAD,SI,,,+46.067,+014.517,+0298.0,1996-01-01,2025-06-04
140210-99999,SLOVENJ GRADEC,SI,,,+46.483,+015.117,+0444.0,1996-01-01,2025-06-04
140230-99999,CELJE,SI,,LJCL,+46.233,+015.233,+0243.6,1996-01-01,2025-06-04
140240-99999,LISCA,SI,,,+46.067,+015.283,+0941.0,1996-02-01,2025-06-04
140250-99999,MARIBOR/TABOR,SI,,,+46.533,+015.650,+0278.0,1996-01-01,2025-06-01
140260-99999,MARIBOR,SI,,LJMB,+46.480,+015.686,+0267.0,1996-01-01,2025-06-04
140310-99999,MURSKA SOBOTA,SI,,,+46.650,+016.200,+0186.7,1996-02-01,2025-06-04
141050-99999,PORTOROZ,SI,,LJPZ,+45.473,+013.615,+0002.1,1996-01-01,2025-06-04
141060-99999,NOVA GORICA,SI,,,+45.900,+013.633,+0056.1,1996-01-01,2025-06-04
141110-99999,ILIRSKA BISTRICA,SI,,,+45.567,+014.250,+0413.0,1996-01-01,1997-12-31
141120-99999,POSTOJNA,SI,,,+45.767,+014.200,+0533.0,1996-01-01,2025-06-04
141180-99999,KOCEVJE,SI,,,+45.650,+014.850,+0467.0,1996-02-01,2025-06-04
141200-99999,CRNOMELJ,SI,,,+45.567,+015.150,+0157.0,1996-02-01,2025-06-04
141210-99999,NOVO MESTO,SI,,,+45.800,+015.183,+0220.0,1996-02-01,2025-06-04
141220-99999,CERKLJE OB KRKI,SI,,,+45.900,+015.517,+0161.6,2006-10-10,2025-06-04
142160-99999,RIJEKA/KOZALA,HR,,,+45.333,+014.450,+0125.0,1996-02-01,2025-06-04
142190-99999,PARG,HR,,,+45.600,+014.633,+0863.0,1996-02-01,2025-06-04
142320-99999,KARLOVAC,HR,,,+45.500,+015.567,+0111.0,1996-02-01,2025-06-04
142340-99999,KRAPINA,HR,,,+46.133,+015.883,+0203.1,1996-02-01,2025-06-04
142350-99999,PUNTIJARKA,HR,,,+45.917,+015.967,+0988.0,1996-02-01,2025-06-04
142360-99999,ZAGREB/GRIC,HR,,,+45.800,+015.967,+0157.0,1996-02-01,2025-06-04
142400-99999,ZAGREB\MAKSIMIR,HR,,LDDD,+45.817,+016.033,+0128.0,1996-02-01,2025-06-04
142410-99999,ZAGREB,HR,,LDZA,+45.743,+016.069,+0107.6,1996-02-01,2025-06-04
142440-99999,SISAK,HR,,,+45.500,+016.367,+0106.0,1996-02-01,2025-06-04
142460-99999,VARAZDIN,HR,,LDVA,+46.295,+016.381,+0167.0,1996-02-01,2025-06-04
142480-99999,KRIZEVCI,HR,,,+46.033,+016.550,+0146.0,1996-01-17,2025-06-04
142530-99999,BJELOVAR,HR,,,+45.917,+016.867,+0142.4,1996-02-01,2025-06-04
142531-99999,LOSINJ ISLAND,HR,,LDLO,+44.567,+014.400,+0045.0,2004-05-10,2025-06-01
142560-99999,BILOGORA,HR,,,+45.883,+017.200,+0263.0,1996-02-01,2025-06-04
142580-99999,DARUVAR,HR,,,+45.600,+017.233,+0161.0,1996-02-01,2025-06-04
142790-99999,OSIJEK\SPA,HR,,,+45.533,+018.633,+0092.0,1996-05-01,1997-12-31
142800-99999,OSIJEK-CEPIN,HR,,LDOC,+45.500,+018.567,+0089.3,2003-03-30,2025-06-04
142840-99999,OSIJEK,HR,,LDOS,+45.463,+018.810,+0088.4,2004-07-13,2025-06-04
143010-99999,POREC,HR,,,+45.233,+013.600,+0015.0,1996-02-01,1997-12-31
143014-99999,CEPIN,HR,,,+45.533,+018.633,+0093.0,1996-03-28,1997-12-09
143015-99999,OSIJEK,HR,,,+45.467,+018.817,+0088.0,2004-08-03,2008-12-31
143030-99999,ROVINJ/SV.IVAN NA PUCINI,HR,,,+45.050,+013.617,+0008.0,1996-02-01,2020-06-09
143070-99999,PULA,HR,,LDPL,+44.894,+013.922,+0083.5,1996-02-01,2025-06-04
143080-99999,PAZIN,HR,,,+45.233,+013.933,+0293.0,1996-02-01,2025-06-04
143140-99999,MALI LOSINJ,HR,,,+44.533,+014.483,+0053.0,1996-02-01,2025-05-19
143170-99999,RIJEKA/OMISALJ,HR,,LDRI,+45.217,+014.583,+0085.0,1996-05-01,1997-12-31
143200-99999,CRIKVENICA,HR,,,+45.167,+014.700,+0002.0,1996-01-03,1997-06-04
143210-99999,RAB,HR,,,+44.750,+014.767,+0019.9,1996-02-01,2025-06-04
143230-99999,SENJ,HR,,,+45.000,+014.900,+0028.0,1996-02-01,2025-06-04
143240-99999,ZAVIZAN,HR,,,+44.817,+014.983,+1597.0,1996-02-01,2025-06-04
143280-99999,OGULIN,HR,,,+45.267,+015.233,+0328.0,1996-02-01,2025-06-04
143300-99999,GOSPIC,HR,,,+44.550,+015.367,+0565.0,1996-02-01,2025-06-04
143700-99999,SLAVONSKI BROD,HR,,LDOR,+45.167,+018.000,+0089.0,1996-02-01,2025-06-04
143820-99999,GRADISTE,HR,,,+45.150,+018.700,+0098.0,1996-01-06,2025-06-04
144270-99999,VELA SESTRICA,HR,,,+43.850,+015.200,+0035.0,1996-02-01,1997-12-31
144280-99999,ZADAR PUNTAMIKA,HR,,,+44.133,+015.217,+0007.0,1996-02-01,2025-06-04
144310-99999,ZADAR,HR,,LDZD,+44.108,+015.347,+0088.1,1996-01-01,2025-06-04
144380-99999,SIBENIK,HR,,,+43.733,+015.917,+0075.0,1996-02-01,2025-06-04
144410-99999,KOMIZA,HR,,,+43.050,+016.100,+0020.0,1996-02-01,2025-06-04
144420-99999,KNIN,HR,,,+44.033,+016.200,+0255.0,1996-02-27,2025-06-04
144430-99999,PALAGRUZA,HR,,,+42.400,+016.267,+0098.0,1996-02-01,2025-06-04
144440-99999,SPLIT,HR,,LDSP,+43.539,+016.298,+0024.1,1996-02-01,2025-06-04
144450-99999,SPLIT/MARJAN,HR,,,+43.517,+016.433,+0128.0,1996-02-01,2025-06-04
144460-99999,BRAC,HR,,LDSB,+43.286,+016.680,+0541.3,2004-08-10,2025-06-04
144470-99999,HVAR,HR,,LDSH,+43.167,+016.450,+0025.0,1996-02-01,2025-06-04
144520-99999,LASTOVO,HR,,,+42.767,+016.900,+0187.0,2001-09-16,2025-06-04
144540-99999,MAKARSKA,HR,,,+43.283,+017.017,+0049.0,1996-02-01,2025-06-04
144620-99999,PLOCE,HR,,,+43.050,+017.450,+0005.0,1996-02-01,2025-06-04
144720-99999,DUBROVNIK/GORICA,HR,,,+42.650,+018.083,+0053.0,1996-02-01,2025-06-04
144740-99999,DUBROVNIK,HR,,LDDU,+42.561,+018.268,+0160.6,1996-01-01,2025-06-04
145280-99999,BIHAC,BK,,,+44.817,+015.883,+0250.0,2001-07-05,2025-06-04
145370-99999,SANSKI MOST,BK,,,+44.767,+016.700,+0158.0,2001-07-05,2025-06-04
145420-99999,BANJA LUKA,BK,,,+44.783,+017.217,+0156.0,2001-07-05,2025-06-04
145430-99999,JAJCE,BK,,,+44.350,+017.267,+0431.0,2001-07-05,2025-06-04
145440-99999,BUGOJNO,BK,,,+44.067,+017.467,+0566.0,1998-10-12,2025-06-04
145490-99999,ZENICA,BK,,,+44.217,+017.900,+0348.0,1998-10-12,2025-06-04
145540-99999,GRADACAC,BK,,,+44.883,+018.433,+0140.0,2001-07-05,2025-06-04
145570-99999,TUZLA,BK,,LQTZ,+44.550,+018.700,+0307.0,2001-07-05,2025-06-04
146400-99999,LIVNO,BK,,LQLV,+43.833,+017.017,+0728.0,1999-01-09,2025-06-04
146480-99999,MOSTAR,BK,,,+43.350,+017.800,+0108.0,2001-07-05,2025-06-04
146500-99999,IVAN SEDLO,BK,,,+43.767,+018.033,+0972.0,2001-07-05,2025-06-04
146520-99999,BJELASNICA,BK,,,+43.717,+018.267,+2070.0,1999-10-29,2025-06-04
146540-99999,SARAJEVO-BJELAVE,BK,,,+43.867,+018.433,+0638.0,1998-10-12,2025-06-04
146560-99999,CEMERNO,BK,,,+43.233,+018.600,+1309.0,2008-08-01,2008-10-09
146570-99999,NEUM,BK,,,+42.917,+017.600,+0014.0,2008-07-21,2025-03-10
150000-99999,DARABANI,RO,,,+48.200,+026.583,+0260.0,1986-12-01,2025-06-04
150001-99999,BOBOC AIR BASE,RO,,LRBO,+45.210,+026.970,+0103.0,2008-08-11,2024-03-18
150002-99999,BORCEA FETESTI AIR BASE,RO,,LRFT,+44.383,+027.717,+0054.0,2008-08-11,2024-12-06
150010-99999,AVRAMENI,RO,,,+48.017,+026.950,+0240.0,1973-07-21,1997-12-31
150030-99999,BOGUS ROMANIAN,RO,,,+52.233,+000.467,+0086.9,1985-12-01,2002-09-27
150040-99999,SIGHETUL MARMATIEI,RO,,,+47.933,+023.900,+0276.0,1965-07-01,2025-06-04
150070-99999,RADAUTI,RO,,,+47.833,+025.900,+0391.0,1973-07-21,2025-06-04
150080-99999,,,,,,,,2001-07-08,2003-06-05
150090-99999,DOROHOI,RO,,,+47.967,+026.400,+0241.0,1973-07-21,1997-12-31
150100-99999,SATU MARE,RO,,LRSM,+47.703,+022.886,+0126.2,1952-01-01,2025-06-04
150105-99999,BAIA MARE/MAGHERUSI,RO,,,+47.667,+023.667,+0152.0,1973-06-21,1990-01-27
150110-99999,BOGUS ROMANIAN,RO,,,,,,1985-01-02,1997-12-31
150130-99999,BOGUS ROMANIAN,RO,,,,,,1986-06-03,1990-02-20
150140-99999,TAUTII MAGHERAUS / MARAMURES,RO,,LRBM,+47.658,+023.470,+0184.1,1974-03-15,2025-06-04
150150-99999,OCNA SUGATAG,RO,,,+47.733,+023.950,+0503.0,1974-03-16,2025-06-04
150200-99999,BOTOSANI,RO,,,+47.733,+026.650,+0163.0,1957-09-01,2025-06-04
150230-99999,STEFAN CEL MARE / SUCEAVA,RO,,LRSV,+47.688,+026.354,+0419.1,1973-01-05,2025-06-04
150235-99999,SUCEAVA/SALCEA,RO,,,+47.683,+026.350,+0399.0,1976-02-04,1990-01-27
150250-99999,STANCA STEFANESTI,RO,,,+47.833,+027.217,+0110.0,1984-11-01,2025-06-04
150320-99999,RODNEI MOUNTAIN RNG,RO,,,+47.583,+024.667,+2303.0,1974-03-15,2002-06-01
150330-99999,IEZER,RO,,,+47.600,+024.650,+1786.0,1973-07-21,2025-06-04
150400-99999,CIMPULUNG MOLDOVENE,RO,,,+47.533,+025.567,+0660.0,1952-01-01,1997-12-31
150410-99999,RAUSENI,RO,,,+47.567,+027.200,+0061.0,1973-07-21,1997-12-31
150420-99999,SACUIENI,RO,,,+47.350,+022.100,+0113.0,1973-08-02,2025-06-04
150430-99999,BOGUS ROMANIAN,RO,,,,,,1988-03-02,2002-05-16
150440-99999,SUPURU DE JOS,RO,,,+47.450,+022.783,+0161.0,1973-07-21,2025-06-04
150470-99999,TARGU LAPUS,RO,,,+47.433,+023.867,+0365.0,1987-07-01,2025-06-04
150480-99999,,,,,,,,2001-07-31,2002-09-20
150520-99999,RARAU,RO,,,+47.450,+025.567,+1574.0,1966-01-02,1997-12-31
150540-99999,BOGUS ROMANIAN,RO,,,,,,1988-02-01,1997-12-31
150550-99999,RADASENI,RO,,,+47.467,+026.250,+0230.0,1984-04-01,1997-12-31
150560-99999,COTNARI,RO,,,+47.367,+026.933,+0289.0,1973-07-21,2025-06-04
150620-99999,BOGUS ROMANIAN,RO,,,,,,1990-06-15,1997-12-31
150630-99999,ZALAU,RO,,,+47.183,+023.050,+0294.0,1973-01-05,2025-06-04
150690-99999,POIANA STAMPEI,RO,,,+47.317,+025.133,+0920.0,1973-08-02,2025-06-04
150700-99999,BOGUS ROMANIAN,RO,,,,,,1988-06-01,1997-12-31
150730-99999,TARGU NEAMT,RO,,,+47.217,+026.383,+0388.0,1973-07-21,2025-06-04
150740-99999,BOGUS ROMANIAN,RO,,,,,,1985-10-01,1997-12-31
150750-99999,PODUL ILOAIEI,RO,,,+47.217,+027.267,+0090.0,1974-03-16,1997-12-23
150790-99999,BOGUS ROMANIAN,RO,,,,,,1988-11-01,1990-02-05
150800-99999,ORADEA,RO,,LROD,+47.025,+021.903,+0141.7,1936-01-01,2025-06-04
150830-99999,DEJ,RO,,,+47.133,+023.900,+0236.0,1974-03-18,2025-06-04
150840-99999,BOGUS ROMANIAN,RO,,,,,,1987-02-01,1997-12-31
150850-99999,BISTRITA,RO,,,+47.150,+024.517,+0367.0,1966-01-02,2025-06-04
150880-99999,CALIMANI RETITIS,RO,,,+47.100,+025.250,+2021.0,1990-02-01,2025-06-04
150890-99999,CEAHLAU,RO,,,+47.050,+025.967,+0554.0,1974-03-19,1997-12-31
150900-99999,IASI,RO,,LRIA,+47.178,+027.621,+0121.0,1936-01-01,2025-06-04
150910-99999,BOGUS ROMANIAN,RO,,,,,,1986-11-01,1997-12-25
150920-99999,BOGUS ROMANIAN,RO,,,,,,1983-03-01,1997-12-31
150940-99999,BARNOVA,RO,,,+47.017,+027.583,+0400.0,2012-03-29,2025-06-04
150950-99999,BOROD,RO,,,+46.983,+022.600,+0317.0,1973-07-21,2025-06-04
150980-99999,BOGUS ROMANIAN,RO,,,,,,1988-02-01,1997-12-31
150990-99999,HUEDIN,RO,,,+46.850,+023.033,+0561.0,1983-03-01,2025-06-04
151070-99999,TOPLITA,RO,,,+46.933,+025.367,+0688.0,1973-07-21,2025-06-04
151080-99999,CEAHLAU TOACA,RO,,,+46.983,+025.950,+1898.0,1964-02-01,2025-06-04
151090-99999,PIATRA NEAMT,RO,,,+46.917,+026.383,+0361.0,1973-07-21,2025-06-04
151110-99999,ROMAN,RO,,,+46.967,+026.917,+0217.0,1935-07-01,2025-06-04
151130-99999,NEGRESTI,RO,,,+46.850,+027.450,+0131.0,1973-07-21,2025-06-04
151150-99999,BOGUS ROMANIAN,RO,,,,,,1987-06-09,2002-09-16
151160-99999,BOGUS ROMANIAN,RO,,,,,,1983-03-01,1997-12-31
151170-99999,HOLOD,RO,,,+46.783,+022.117,+0165.0,1974-03-16,2025-06-04
151180-99999,STANA DE VALE,RO,,,+46.683,+022.617,+1116.0,1983-03-01,2025-06-04
151190-99999,VLADEASA 1800,RO,,,+46.767,+022.800,+1837.0,1973-07-21,2025-06-04
151200-99999,CLUJ NAPOCA / AVRAM IANCU,RO,,LRCL,+46.785,+023.686,+0315.8,1936-01-01,2025-06-04
151205-99999,CLUJ-NAPOCA/SOMESEN,RO,,LRCL,+46.783,+023.567,+0410.0,1976-02-03,1990-01-08
151230-99999,SARMASU,RO,,,+46.750,+024.167,+0398.0,1973-07-22,2025-06-04
151240-99999,BATOS,RO,,,+46.883,+024.650,+0448.0,1987-03-01,2025-06-04
151270-99999,JOSENI,RO,,,+46.700,+025.517,+0751.0,1973-07-21,2025-06-04
151320-99999,PLOPANA,RO,,,+46.683,+027.233,+0251.0,1973-07-21,1997-12-31
151340-99999,HUSI,RO,,,+46.683,+028.067,+0098.0,1983-03-01,1997-12-31
151360-99999,CHISINEU-CRIS,RO,,,+46.533,+021.533,+0096.0,1973-07-21,2025-06-04
151380-99999,DUMBRAVITA DE CODRU,RO,,,+46.633,+022.167,+0586.0,1984-01-01,2025-06-04
151400-99999,STEIU,RO,,,+46.533,+022.450,+0500.0,1984-04-01,1997-12-31
151430-99999,TURDA,RO,,,+46.583,+023.783,+0428.0,1974-03-15,2025-06-04
151450-99999,VIDRASAU / TARGU MURES,RO,,LRTM,+46.468,+024.413,+0293.5,1952-04-01,2025-06-04
151455-99999,TIGU MURES/VIDRASA,RO,,LRTM,+46.533,+024.533,+0308.0,1976-02-03,1990-01-27
151480-99999,BUCIN,RO,,,+46.650,+025.300,+1279.0,1983-03-01,2025-06-04
151490-99999,BOGUS ROMANIAN,RO,,,,,,1991-02-01,2002-08-28
151500-99999,GEORGE ENESCU BACAU INTL,RO,,LRBC,+46.522,+026.910,+0185.0,1952-01-01,2025-06-04
151520-99999,BOGUS ROMANIAN,RO,,,,,,1984-04-01,1997-12-31
151540-99999,VASLUI,RO,,,+46.650,+027.717,+0117.0,1974-03-16,2025-06-04
151550-99999,,,,,,,,2001-07-28,2003-02-22
151580-99999,ZARAND,RO,,,+46.400,+021.650,+0112.0,1983-03-01,1997-12-31
151590-99999,MOCREA,RO,,,+46.383,+021.817,+0697.0,1983-03-01,1997-12-05
151600-99999,STEI,RO,,,+46.533,+022.467,+0279.0,1973-08-04,2025-06-04
151620-99999,CAMPENI,RO,,,+46.367,+023.050,+0611.0,1974-03-15,2025-06-04
151630-99999,BAISOARA,RO,,,+46.533,+023.317,+1356.0,1973-07-21,2025-06-04
151650-99999,TARNAVENI,RO,,,+46.367,+024.233,+0524.0,1987-03-01,2025-06-04
151680-99999,ODORHEIUL SECUIESC,RO,,,+46.300,+025.300,+0525.0,1973-08-02,2025-06-04
151700-99999,MIERCUREA CIUC,RO,,,+46.367,+025.733,+0662.0,1966-01-02,2025-06-04
151740-99999,ONCESTI,RO,,,+46.467,+027.250,+0204.0,1973-07-21,1997-12-31
151750-99999,BOGUS ROMANIAN,RO,,,,,,1989-03-10,2002-09-28
151790-99999,SIRIA,RO,,,+46.250,+021.650,+0473.0,1985-04-01,2025-06-04
151820-99999,GURAHONT,RO,,,+46.267,+022.333,+0177.0,1973-07-21,2025-06-04
151840-99999,ROSIA MONTANA,RO,,,+46.317,+023.133,+1193.0,1984-01-01,2025-06-04
151860-99999,BOGUS ROMANIAN,RO,,,,,,1985-01-04,1997-12-31
151880-99999,BOGUS ROMANIAN,RO,,,,,,1989-06-01,2003-04-01
151890-99999,DUMBRAVENI,RO,,,+46.233,+024.600,+0319.0,1973-01-05,2025-06-04
151910-99999,BOGUS ROMANIAN,RO,,,,,,1986-06-03,2002-12-22
151940-99999,TARGU OCNA,RO,,,+46.267,+026.650,+0243.0,1973-01-14,2025-06-04
151970-99999,BARLAD,RO,,,+46.233,+027.650,+0173.0,1966-01-02,2025-06-04
151990-99999,SANNICOLAU MARE,RO,,,+46.067,+020.600,+0086.2,1973-08-02,2025-06-04
152000-99999,ARAD,RO,,LRAR,+46.177,+021.262,+0107.3,1936-11-05,2025-06-04
152005-99999,ARAD,RO,,,+46.167,+021.317,+0108.0,1975-12-02,1990-11-20
152040-99999,VARADIA DE MURES,RO,,,+46.017,+022.150,+0157.0,1973-07-21,2025-06-04
152060-99999,TEBEA,RO,,,+46.167,+022.726,+0264.0,1973-08-02,2025-06-04
152080-99999,ALBA IULIA,RO,,,+46.067,+023.567,+0247.0,1983-03-01,2025-06-04
152090-99999,BLAJ,RO,,,+46.183,+023.933,+0334.0,1973-01-05,2025-06-04
152100-99999,BOGUS ROMANIAN,RO,,,,,,1989-05-08,2003-01-30
152110-99999,BOGUS ROMANIAN,RO,,,,,,1987-06-15,2003-06-15
152120-99999,HOMOROD,RO,,,+46.050,+025.267,+0451.0,1984-09-02,1997-12-31
152150-99999,BARAOLT,RO,,,+46.083,+025.600,+0509.0,1973-07-21,2025-06-04
152170-99999,TARGU SECUIESC,RO,,,+46.000,+026.133,+0569.0,1973-07-21,2025-06-04
152190-99999,ADJUD,RO,,,+46.100,+027.167,+0102.0,1974-03-18,2025-06-04
152210-99999,BALINTESTI,RO,,,+46.033,+027.917,+0214.0,1973-07-21,1997-12-31
152220-99999,BOGUS ROMANIAN,RO,,,,,,1984-01-04,1997-12-10
152300-99999,DEVA,RO,,,+45.867,+022.900,+0231.0,1952-01-01,2025-06-04
152310-99999,SEBES ALBA,RO,,,+45.967,+023.533,+0272.2,1973-07-21,2025-06-04
152350-99999,FAGARAS,RO,,,+45.833,+024.933,+0429.0,1966-05-05,2025-06-04
152370-99999,BOGUS ROMANIAN,RO,,,,,,1988-10-01,1997-12-31
152380-99999,SFANTU GHEORGHE GOVASNA,RO,,,+45.867,+025.817,+0526.0,1974-03-15,2025-06-04
152390-99999,BOGUS ROMANIAN,RO,,,,,,1988-05-01,1997-12-20
152410-99999,TULNICI,RO,,,+45.917,+026.667,+0563.0,1973-07-21,1997-12-31
152450-99999,JIMBOLIA,RO,,,+45.783,+020.700,+0080.0,1986-01-01,2025-06-04
152470-99999,TRAIAN VUIA,RO,,LRTR,+45.810,+021.338,+0106.1,1952-01-01,2025-06-04
152490-99999,BOGUS ROMANIAN,RO,,,,,,1991-02-01,2002-09-01
152540-99999,PALTINIS SIBIU,RO,,,+45.650,+023.933,+1454.0,1973-08-02,2025-06-04
152590-99999,POSTAVARU,RO,,,+45.567,+025.550,+1784.0,1989-12-01,1997-12-31
152600-99999,SIBIU,RO,,LRSB,+45.786,+024.091,+0456.0,1936-01-01,2025-06-04
152610-99999,INTORSURA BUZAULUI,RO,,,+45.683,+026.017,+0710.0,1973-01-05,2025-06-04
152620-99999,LACAUTI,RO,,,+45.817,+026.383,+1785.0,1973-07-21,2025-06-04
152640-99999,FOCSANI,RO,,,+45.700,+027.200,+0059.0,1983-03-01,2025-06-04
152650-99999,TECUCI,RO,,,+45.850,+027.417,+0061.0,1936-01-02,2025-06-04
152670-99999,RAUTI,RO,,,+45.667,+020.933,+0080.0,1973-07-21,1997-12-31
152700-99999,LUGOJ,RO,,,+45.683,+021.933,+0123.0,1974-03-16,2025-06-04
152710-99999,,,,,,,,2001-07-07,2002-08-03
152720-99999,,,,,,,,2001-08-20,2003-02-20
